"customer_id","recency_days","frequency_count","monetary_value","r_score","f_score","m_score","rfm_segment"
"14646","1","73","280206.02","5","5","5","555"
"18102","0","60","259657.30","5","5","5","555"
"17450","8","46","194390.79","5","5","5","555"
"16446","0","2","168472.50","5","2","5","525"
"14911","1","201","143711.17","5","5","5","555"
"12415","24","21","124914.53","4","5","5","455"
"14156","9","55","117210.08","5","5","5","555"
"17511","2","31","91062.38","5","5","5","555"
"16029","38","63","80850.84","3","5","5","355"
"12346","325","1","77183.60","1","2","5","125"
"16684","4","28","66653.56","5","5","5","555"
"14096","4","17","65164.79","5","5","5","555"
"13694","3","50","65039.62","5","5","5","555"
"15311","0","91","60632.75","5","5","5","555"
"13089","2","97","58762.08","5","5","5","555"
"17949","1","45","58510.48","5","5","5","555"
"15769","7","26","56252.72","5","5","5","555"
"15061","3","48","54534.14","5","5","5","555"
"14298","8","44","51527.30","5","5","5","555"
"14088","10","13","50491.81","5","5","5","555"
"15749","235","3","44534.30","1","4","5","145"
"12931","21","15","42055.96","4","5","5","455"
"17841","1","124","40519.84","5","5","5","555"
"15098","182","3","39916.50","1","4","5","145"
"13798","1","57","37153.85","5","5","5","555"
"16013","3","47","37130.60","5","5","5","555"
"16422","17","51","34684.40","4","5","5","455"
"15838","11","19","33643.08","5","5","5","555"
"12748","0","209","33053.19","5","5","5","555"
"17404","4","15","31906.82","5","5","5","555"
"17389","0","34","31833.68","5","5","5","555"
"13098","1","28","28882.44","5","5","5","555"
"14680","25","16","28754.11","4","5","5","455"
"13081","11","11","28337.38","5","5","5","555"
"13408","1","62","28117.04","5","5","5","555"
"17857","4","23","26879.04","5","5","5","555"
"16333","7","22","26626.80","5","5","5","555"
"13777","0","33","25977.16","5","5","5","555"
"12753","22","6","21429.39","4","5","5","455"
"12744","51","7","21279.29","3","5","5","355"
"16210","1","18","21086.30","5","5","5","555"
"17675","1","31","20374.28","5","5","5","555"
"17381","8","29","20275.61","5","5","5","555"
"12471","2","30","19788.65","5","5","5","555"
"15039","9","47","19766.59","5","5","5","555"
"12731","23","12","18895.91","4","5","5","455"
"15159","1","30","18641.01","5","5","5","555"
"12901","8","28","17654.54","5","5","5","555"
"12678","42","12","17628.46","3","5","5","355"
"14031","7","19","17286.86","5","5","5","555"
"17428","0","28","17256.85","5","5","5","555"
"13767","2","37","17220.36","5","5","5","555"
"13881","3","20","17159.52","5","5","5","555"
"16839","8","34","16594.35","5","5","5","555"
"12921","9","37","16587.09","5","5","5","555"
"17677","1","30","16345.38","5","5","5","555"
"15189","1","41","16225.39","5","5","5","555"
"14607","15","14","16209.50","4","5","5","455"
"15856","4","27","16143.64","5","5","5","555"
"14051","0","23","15610.39","5","5","5","555"
"15513","33","19","14758.22","3","5","5","355"
"16133","3","33","14589.04","5","5","5","555"
"14866","10","12","14389.90","5","5","5","555"
"16705","0","20","14034.99","5","5","5","555"
"12681","14","22","13787.54","4","5","5","455"
"12621","1","20","13689.67","5","5","5","555"
"12540","19","17","13400.24","4","5","5","455"
"12433","0","7","13375.87","5","5","5","555"
"15498","2","27","13316.40","5","5","5","555"
"12477","22","6","13219.74","4","5","5","455"
"17735","2","19","13110.02","5","5","5","555"
"16525","2","26","13027.45","5","5","5","555"
"14258","9","9","12669.98","5","5","5","555"
"13078","3","26","12627.94","5","5","5","555"
"12536","43","3","12601.83","3","4","5","345"
"15640","4","15","12416.11","5","5","5","555"
"16000","2","3","12393.70","5","4","5","545"
"17340","29","11","12353.29","4","5","5","455"
"12682","3","31","12279.82","5","5","5","555"
