customer_id,recency_days,frequency_count,monetary_value,r_score,f_score,m_score,rfm_segment,Cluster
14646,1,73,280206.02,5,5,5,555,2
18102,0,60,259657.3,5,5,5,555,2
17450,8,46,194390.79,5,5,5,555,2
16446,0,2,168472.5,5,2,5,525,2
14911,1,201,143711.17,5,5,5,555,2
12415,24,21,124914.53,4,5,5,455,2
14156,9,55,117210.08,5,5,5,555,2
17511,2,31,91062.38,5,5,5,555,2
16029,38,63,80850.84,3,5,5,355,2
12346,325,1,77183.6,1,2,5,125,1
16684,4,28,66653.56,5,5,5,555,2
14096,4,17,65164.79,5,5,5,555,2
13694,3,50,65039.62,5,5,5,555,2
15311,0,91,60632.75,5,5,5,555,2
13089,2,97,58762.08,5,5,5,555,2
17949,1,45,58510.48,5,5,5,555,2
15769,7,26,56252.72,5,5,5,555,2
15061,3,48,54534.14,5,5,5,555,2
14298,8,44,51527.3,5,5,5,555,2
14088,10,13,50491.81,5,5,5,555,2
15749,235,3,44534.3,1,4,5,145,1
12931,21,15,42055.96,4,5,5,455,2
17841,1,124,40519.84,5,5,5,555,2
15098,182,3,39916.5,1,4,5,145,1
13798,1,57,37153.85,5,5,5,555,2
16013,3,47,37130.6,5,5,5,555,2
16422,17,51,34684.4,4,5,5,455,2
15838,11,19,33643.08,5,5,5,555,2
12748,0,209,33053.19,5,5,5,555,2
17404,4,15,31906.82,5,5,5,555,2
17389,0,34,31833.68,5,5,5,555,2
13098,1,28,28882.44,5,5,5,555,2
14680,25,16,28754.11,4,5,5,455,2
13081,11,11,28337.38,5,5,5,555,2
13408,1,62,28117.04,5,5,5,555,2
17857,4,23,26879.04,5,5,5,555,2
16333,7,22,26626.8,5,5,5,555,2
13777,0,33,25977.16,5,5,5,555,2
12753,22,6,21429.39,4,5,5,455,2
12744,51,7,21279.29,3,5,5,355,2
16210,1,18,21086.3,5,5,5,555,2
17675,1,31,20374.28,5,5,5,555,2
17381,8,29,20275.61,5,5,5,555,2
12471,2,30,19788.65,5,5,5,555,2
15039,9,47,19766.59,5,5,5,555,2
12731,23,12,18895.91,4,5,5,455,2
15159,1,30,18641.01,5,5,5,555,2
12901,8,28,17654.54,5,5,5,555,2
12678,42,12,17628.46,3,5,5,355,2
14031,7,19,17286.86,5,5,5,555,2
